Average Fitness (Memory Length: 1),Diversity
3.98,0.08
5.00,0.02
4.98,0.04
4.98,0.05
5.00,0.02
5.00,0.03
4.98,0.03
4.98,0.03
4.98,0.04
5.00,0.02
5.00,0.04
4.98,0.03
4.98,0.03
5.00,0.03
4.96,0.05
5.00,0.02
5.00,0.03
4.96,0.04
5.00,0.02
5.00,0.02
4.98,0.03
5.00,0.03
5.00,0.02
4.96,0.05
4.98,0.03
4.96,0.04
4.96,0.04
5.00,0.03
5.00,0.03
5.00,0.03
4.98,0.03
5.00,0.02
5.00,0.02
5.00,0.02
5.00,0.02
4.98,0.03
5.00,0.02
5.00,0.02
5.00,0.03
4.98,0.03
4.98,0.03
5.00,0.02
5.00,0.02
5.00,0.02
5.00,0.03
5.00,0.02
5.00,0.02
4.94,0.05
4.96,0.04
5.00,0.02
